;TrV;Benämning;Definition;Synonym
Grundfunktioner och Komponenter;FMG;Brandsläckare;brandskyddande objekt för manuell hantering;handbrandsläckare
Grundfunktioner och Komponenter;FMH;Brandisolering;brandskyddande objekt genom beklädnad;brandskyddsbeklädnad, brandskyddsskiva, sprutbetong för brandskydd
Grundfunktioner och Komponenter;FMJ;Brandskyddsfärg;brandskyddande objekt genom beläggning;
Grundfunktioner och Komponenter;FMK;Brandskyddsimpregnering;brandskyddande objekt genom impregnering;vattenglasimpregnering
Grundfunktioner och Komponenter;FN;Mekanisk kraftskyddande objekt;skyddande objekt mot mekanisk kraft;
Grundfunktioner och Komponenter;FNA;Överlastkoppling;mekanisk kraftskyddande objekt som ger en frånkoppling när ett vridmoment överskrider ett bestämt värde;slirkoppling, brytpinne, vridmomentskydd
Grundfunktioner och Komponenter;FNB;Stötskydd;mekanisk kraftskyddande objekt genom absorption av kollosionskraft;avvisare, fångstanordning, kabelskydd, kringfyllning, kontaktledningskälke, krockskydd, navföljare, räckesavslutning, sockelavvisare, skyddsfyllning, skyddshuv, skyddsrör, sparkplåt, stoppbock, trädskydd
Grundfunktioner och Komponenter;FQ;Förebyggande skyddande objekt;skyddande objekt genom barriär eller hinder;barriärelement, broräcke, bergsäkringsnät, krockskydd, mitträcke, skyddsräl, vägräcke
Grundfunktioner och Komponenter;FQA;Skyddsnät;förebyggande skyddande objekt mot passerande objekt;bergsäkringsnät, fågelnät, fönstergaller, intagsgaller, intagsgrind, isgrind, personskydd, sil, skyddsgaller, utloppsgaller, ventilationsgaller
Grundfunktioner och Komponenter;FQB;Glidskydd;förebyggande skyddande objekt mot glidande eller drivande materia;glidskydd, snöglidskydd, snökrok, snörasskydd, snöräcke, snöskydd, underglidningsskydd för mc
Grundfunktioner och Komponenter;FQC;Handledare;förebyggande skyddande objekt mot fall;ledstång, säkerhetslina
Grundfunktioner och Komponenter;FQD;Räcke;förebyggande skyddande objekt mot fall eller kollision;avvisare, avvisarräcke, balkongräcke, balustrad, barriärelement, broräcke, fallskyddslina, fallskyddsräcke, fotlist, fönsterdörräcke, krockskydd, mitträcke, nockräcke, parkeringsräcke, planteringsräcke, planteringsskydd, sidoräcke, skyddsräcke, sparklist, skyddsräl, stamskydd, vägräcke
Grundfunktioner och Komponenter;FQE;Skyddsduk;förebyggande skyddande objekt mot genomträngning;ogräsduk
Grundfunktioner och Komponenter;FQF;Bländskydd;förebyggande skyddande objekt mot bländning;
Grundfunktioner och Komponenter;FQG;Stänkskydd;förebyggande skyddande objekt mot stänk;duschkabin, duschvägg
Grundfunktioner och Komponenter;FQH;Brytskydd;förebyggande skyddande objekt mot manuell brytning;
Grundfunktioner och Komponenter;FQJ;Låsskydd;förebyggande skyddande objekt mot manuell upplåsning;vredkåpa, vredskydd
Grundfunktioner och Komponenter;FQL;Hängkabelsäkring;förebyggande skyddande objekt mot fall av upphängt objekt;säkerhetslina
Grundfunktioner och Komponenter;FR;Slitageskyddande objekt;skyddande objekt mot materialerosion;
Grundfunktioner och Komponenter;FRA;Smörjmedel;slitageskyddande objekt genom smörjning mellan objekt;smörjolja rälssmörjningsapparat, smörjapparat
Grundfunktioner och Komponenter;FRB;Slitageskydd;slitageskyddande objekt som tillhandhåller ett solitt materialskiljande lager mellan objekt;erosionsskydd, glacis, skyddsbeläggning, skyddsfolie, släntbeklädnad, strandskoning
Grundfunktioner och Komponenter;FS;Omgivningsskyddande objekt;skyddande objekt relaterat till påverkan från lokal omgivning;ytskikt
Grundfunktioner och Komponenter;FSA;Puts;omgivningsskyddande objekt genom stelnat bruk som täcker ett annat objekt;väggputs, takputs, slamning
Grundfunktioner och Komponenter;FSB;Färg;omgivningsskyddande objekt genom en hårdnad vätskefilm på ytan av ett annat objekt;skyddsfärg
Grundfunktioner och Komponenter;FSC;Impregnering;omgivningsskyddande objekt genom en applicerad eller injekterad vätska som gör objektet motståndskraftigt mot yttre påverkan;botteninjektering, efterinjektering, förinjektering, försegling, injekterad tätzon, injekteringsmedel, injekteringstätning, klotterskydd, ridåinjektering
Grundfunktioner och Komponenter;FSD;Väderskydd;omgivningsskyddande objekt genom skydd mot klimateffekter;
Grundfunktioner och Komponenter;FSE;Jordbävningsskydd;omgivningsskyddande objekt genom vibrationsdämpning;
Grundfunktioner och Komponenter;FSF;Korrosionsskydd;omgivningsskyddande objekt genom oxidation av metall;katodiskt skydd, rostskydd, offeranod
Grundfunktioner och Komponenter;FSG;Tätskikt;omgivningsskyddande objekt genom ett icke genomträngligt lager på ytan av ett annat objekt;diffussionsspärr, explosionstätning, fuktspärr, gas- och vätsketätande lager, gastätning, luftspärr, lufttätning, primer, skyddslager, sprutbart membran, strålningstätning, tjärpapp, tunnelduk, tätningslager, underlagspapp, vattenavledande membran, ytpapp, strömningsavskiljande lager, tätande lager, ångspärr
Grundfunktioner och Komponenter;FSH;Kapillärbrytande lager;omgivningsskyddande objekt genom ett kapillärbrytande lager;kapillärskydd
Grundfunktioner och Komponenter;G;Genererande objekt;objekt för tillhandahållande av ett kontrollerbart flöde;
Grundfunktioner och Komponenter;GA;Mekaniskt elektricitetsgenererande objekt;genererande objekt för elektrisk energi driven av mekanisk energi;
Grundfunktioner och Komponenter;GAA;Växelströmsgenerator;mekaniskt elektricitetsgenererande objekt för växelström;reservelverk, reservkraftaggregat
Grundfunktioner och Komponenter;GAB;Likströmsgenerator;mekaniskt elektricitetsgenererande objekt för likström;
Grundfunktioner och Komponenter;GB;Kemiskt elektricitetsgenererande objekt;genererande objekt för elektrisk energi driven av kemisk reaktion;
Grundfunktioner och Komponenter;GBA;Engångsbatteri;kemiskt elektricitetsgenererande objekt från en icke förnybar källa;
Grundfunktioner och Komponenter;GBB;Bränslecell;kemiskt elektricitetsgenererande objekt som kontinuerligt matas med bränsle och oxidant;
Grundfunktioner och Komponenter;GC;Solel-energigenererande objekt;genererande objekt för elektrisk energi driven av solenergi;
Grundfunktioner och Komponenter;GCA;Kristallin solpanel;solel-energigenererande objekt som utnyttjar halvledande material på kiselplattor;
Grundfunktioner och Komponenter;GCB;Tunnfilmsolpanel;solel-energigenererande objekt som utnyttjar tunnfilmsmaterial;solcell
Grundfunktioner och Komponenter;GF;Signalgenererande objekt;genererande objekt för informationsbärande signaler;
Grundfunktioner och Komponenter;GFA;Elektromagnetisk signalsändare;signalgenererande objekt genom elektromagnetiska vågor;radiosändare, radiovågssändare, tevesändare
Grundfunktioner och Komponenter;GFB;Mekanisk signalsändare;signalgenererande objekt genom vajrar;
Grundfunktioner och Komponenter;GL;Gods- och personflödesgenererande objekt;genererande objekt för kontinuerlig förflyttning av gods och personer;
Grundfunktioner och Komponenter;GLA;Transportband;gods- och personflödesgenererande objekt på ett band;bagageband, bandtransportör, brickband, elevator, hängtransportör, kassaband, rullande trottoar, rullband, rullgångbana, rullramp, vertikaltransportör
Grundfunktioner och Komponenter;GLB;Kedjetransportör;godsflödesgenererande objekt på en kedja;
Grundfunktioner och Komponenter;GLC;Rulltransportör;godsflödesgenererande objekt på rullar;rullbana, rullbord
Grundfunktioner och Komponenter;GLD;Skruvtransportör;godsflödesgenererande objekt med en skruv;lyftskruv, transportskruv
Grundfunktioner och Komponenter;GLE;Rulltrappa;personflödesgenererande objekt med en serie av steg;
Grundfunktioner och Komponenter;GLF;Paternosterverk;godsflödesgenererande objekt med en serie av behållare;
Grundfunktioner och Komponenter;GLG;Vibrationsband;godsflödesgenererande objekt på en vibrerande yta;
Grundfunktioner och Komponenter;GM;Gods- och personförflyttande objekt;genererande objekt för icke kontinuerlig förflyttning av gods och personer;
Grundfunktioner och Komponenter;GMA;Vagn;godsförflyttande objekt horisontellt;bassängvagn, bordsvagn, dispenservagn, kärra, lyftvagn, mattransportvagn
Grundfunktioner och Komponenter;GMB;Telfer;godsförflyttande objekt vertikalt;
Grundfunktioner och Komponenter;GMC;Lyftanordning;gods- och personförflyttande objekt som lyfter och flyttar objekt vertikalt och/eller horisontellt;hiss, lyftbord, lyftkran, lyftplattform, personhiss, patientlyft, plattformslift, saxlift, trapphiss, trapplift, travers, vertikallyft, portalkran
Grundfunktioner och Komponenter;GMD;Staplare;godsförflyttande objekt som placerar objekt tillsammans;
Grundfunktioner och Komponenter;GME;Vändskiva;godsförflyttande objekt som vänder ett förmedlat flöde;
Grundfunktioner och Komponenter;GMF;Vibrationsmatare;godsförflyttande objekt i ett linjärt flöde genom vibrering;
Grundfunktioner och Komponenter;GP;Vätskeflödesgenererande objekt;genererande objekt för vätskeflöde;pump, vätskepump
Grundfunktioner och Komponenter;GPA;Deplacementspump;vätskeflödesgenererande objekt genom att tvinga instängd vätska till utloppssidan;handpump, doseringspump, provtagningspump
Grundfunktioner och Komponenter;GPB;Dynamisk pump;vätskeflödesgenererande objekt genom ökning av flödeshastigheten genom mekanisk rörelse;cirkulationspump, rotodynamisk pump, tryckstegringspump
Grundfunktioner och Komponenter;GPC;Strålpump;vätskeflödesgenererande objekt genom att överföra rörelseenergin från ett inflöde till ett utflöde;ejektor, vädur, vätskeejektor
Grundfunktioner och Komponenter;GPD;Smörjapparat;vätskeflödesgenererande objekt genom att konvertera lägesenergi till rörelseenergi genom gravitation;rälssmörjningsapparat
Grundfunktioner och Komponenter;GQ;Gasflödesgenererande objekt;genererande objekt för gasflöde;
Grundfunktioner och Komponenter;GQA;Kompressor;gasflödesgenererande objekt genom  att tvinga instängd gas till utloppssidan;blåsmaskin, kolvkompressor, skruvkompressor
Grundfunktioner och Komponenter;GQB;Fläkt;gasflödesgenererande objekt genom ökning av flödeshastigheten genom mekanisk rörelse;axialfläkt, brandfläkt, centraldammsugare, cirkulationsfläkt, dammsugare, frånluftsfläkt, garagefläkt, impulsfläkt, jetfläkt, kammarfläkt, kanalfläkt, kylfläkt, köksfläkt, luftridåapparat, propellerfläkt, radialfläkt, spisfläkt, takfläkt, tilluftsfläkt, tunnelfläkt, tvärströmsfläkt
Grundfunktioner och Komponenter;GQC;Gasejektor;gasflödesgenererande objekt genom att överföra rörelseenergin från ett inflöde till ett utflöde;strålpump, ångejektor, ångstrålkompressor, ångstrålventilator
Grundfunktioner och Komponenter;GR;Solvärmefångande objekt;genererande objekt för termisk energi från solenergi;
Grundfunktioner och Komponenter;GRA;Plan solfångare;solvärmefångande objekt till ett flöde;
Grundfunktioner och Komponenter;GRB;Vacuumrörsolfångare;solvärmefångande objekt som genererar ett flöde;
Grundfunktioner och Komponenter;GZ;Genererande objekt med multipla funktioner;genererande objekt med multipla funktioner;
Grundfunktioner och Komponenter;GZA;Luftbehandlingsaggregat;genererande objekt med multipla funktioner för luftbehandling;cirkulationsaggregat, frånluftsaggregat, till- och frånluftsaggregat, tilluftsaggregat, ventilationsaggregat
Grundfunktioner och Komponenter;GZB;Hydraulaggregat;genererande objekt med multipla funktioner för vätskeförflyttning eller vätsketryck;
Grundfunktioner och Komponenter;GZC;Tryckluftsaggregat;genererande objekt med multipla funktioner för lufttryck;
Grundfunktioner och Komponenter;H;Materialbehandlande objekt;objekt för behandling av material;
Grundfunktioner och Komponenter;HJ;Primärformande objekt;materialbehandlande objekt genom formning av original;
Grundfunktioner och Komponenter;HJA;Gjutverktyg;primärformande objekt från materia i flytande tillstånd;3D-printer
Grundfunktioner och Komponenter;HJB;Press;primärformande objekt från solid materia i fast tillstånd;3D-printer, pulverpress, spånpress
Grundfunktioner och Komponenter;HK;Ytbehandlande objekt;materialbehandlande objekt genom ytskydd;
Grundfunktioner och Komponenter;HKA;Ytrengörare;ytbehandlande objekt genom preparation;autoklav, desinficeringsmaskin, diskmaskin, högtryckstvätt, sköljmaskin, tvättmaskin, ultraljudsrengörare, ångtvätt
Grundfunktioner och Komponenter;HKB;Ytmodifierare;ytbehandlande objekt genom modifiering;blästringsmaskin, polermaskin, slipmaskin
Grundfunktioner och Komponenter;HKC;Yttäckningsmaskin;ytbehandlande objekt genom täckning;anodiseringsmaskin, sprutmålningsaggregat
Grundfunktioner och Komponenter;HL;Ihopsättande objekt;materialbehandlande objekt genom ihopfogning eller ihopsättning;
Grundfunktioner och Komponenter;HLA;Monteringsrobot;ihopsättande objekt genom fysisk ihopsättning;industrirobot, monteringsmaskin
Grundfunktioner och Komponenter;HLB;Mekanisk ihopfogningsmaskin;ihopsättande objekt genom mekanisk ihopfogning;crimpningsmaskin, falsmaskin, friktionssvets, sickmaskin, sickningsmaskin, trycksvetsmaskin, vikmaskin
Grundfunktioner och Komponenter;HLC;Smältsvets ;ihopsättande objekt genom termisk ihopfogning;argonsvets, bågsvets, gassvets, gasvolframsvets, lasersvets, lödningsmaskin, mag-svets, metallbågsvets, mig-svets, mig/mag-svets, mma-svets, plasmasvets, punktsvets, skyddsgassvets, svetsrobot, tig-svets, ultrasvets
Grundfunktioner och Komponenter;HLD;Limningsmaskin;ihopsättande objekt genom kemisk ihopfogning;
Grundfunktioner och Komponenter;HM;Kraftbaserat separerande objekt;materialbehandlande objekt genom separation av blandande substanser genom kraft;
Grundfunktioner och Komponenter;HMA;Avskiljare;kraftbaserat separerande objekt av partiklar genom gravitation;fettavskiljare, gipsavskiljare, kammarbrunn, oljeavskiljare, sandfång, sedimentationstank, slamavskiljare
Grundfunktioner och Komponenter;HMB;Centrifug;kraftbaserat separerande objekt av substanser genom centrifugalkraft i en roterande kammare;
Grundfunktioner och Komponenter;HMC;Cyklon;kraftbaserat separerande objekt av substanser genom rotation i en stationär kammare;hydrocyklon
Grundfunktioner och Komponenter;HP;Termiskt separerande objekt;materialbehandlande objekt genom termisk separation av blandade substanser;
Grundfunktioner och Komponenter;HPA;Avfuktare;termiskt separerande objekt som avlägsnar fukt;luftavfuktare, torktumlare, torkskåp
Grundfunktioner och Komponenter;HPB;Destillator;termiskt separerande objekt som genererar gas från en vätska;
Grundfunktioner och Komponenter;HQ;Mekaniskt separerande objekt;materialbehandlande objekt genom mekanisk separation av blandade substanser;
Grundfunktioner och Komponenter;HQA;Filter;mekaniskt separerande objekt för partiklar baserat på deras storlek och/eller form;avdragsanordning, filter, mekaniskt filter, luftfilter, raka, rensgaller, sandfilter, skrapgaller, vattenfilter, ventilationsfilter
Grundfunktioner och Komponenter;HQB;Skimmer;mekaniskt separerande objekt för olja genom skimmning;oljeskimmer
Grundfunktioner och Komponenter;HR;Elektriskt eller magnetiskt separerande objekt;materialbehandlande objekt genom elektromagnetisk separation av blandande substanser;
Grundfunktioner och Komponenter;HRA;Elektrostatfilter;elektriskt eller magnetiskt separerande objekt genom ett elektriskt fält;
Grundfunktioner och Komponenter;HRB;Magnetisk separator;elektriskt eller magnetiskt separerande objekt genom ett magnetiskt fält;
Grundfunktioner och Komponenter;HS;Kemiskt separerande objekt;materialbehandlande objekt genom kemiska separation av blandade substanser;
Grundfunktioner och Komponenter;HSA;Jonbytare;kemiskt separerande objekt genom utbyte av joner;
Grundfunktioner och Komponenter;HSB;Absorbent;kemiskt separerande objekt genom absorption;
Grundfunktioner och Komponenter;HSC;Adsorbent;kemiskt separerande objekt som binder substanser;
Grundfunktioner och Komponenter;HU;Mekaniskt sönderdelande objekt;materialbehandlande objekt som åstadkommer mindre former av solida material;
Grundfunktioner och Komponenter;HUA;Hackmaskin;mekaniskt sönderdelande objekt för mjukt, medelhårt, fibröst och segt material;avfallskvarn, livsmedelskvarn, köttkvarn, snabbhack
Grundfunktioner och Komponenter;HUB;Kvarn;mekaniskt sönderdelande objekt för bearbetning till specifika storlekar och former;livsmedelssåg, skärmaskin, såg, köttsåg
Grundfunktioner och Komponenter;HUC;Kross;mekaniskt sönderdelande objekt för mineral;bergkross
Grundfunktioner och Komponenter;HV;Aggregerande objekt;materialbehandlande objekt som åstadkommer större former av substanser;
Grundfunktioner och Komponenter;HVA;Pelletterare;aggregerande objekt som komprimerar eller formar material till pelletform;
Grundfunktioner och Komponenter;HVB;Kolloidator;aggregerande objekt som möjliggör (en process där) kolloidbildning från en vätska;förtjockare
Grundfunktioner och Komponenter;HW;Blandande objekt;materialbehandlande objekt som åstadkommer nya material genom att blanda olika substanser;
Grundfunktioner och Komponenter;HWA;Mixer;blandande objekt som åstadkommer en ny egenskap hos en substans från olika substanser;blandningsmaskin, glassmaskin, omrörare, vispmaskin, kaffebryggare, espressomaskin, kaffemaskin
Grundfunktioner och Komponenter;HWB;Befuktare;blandande objekt som åstadkommer fuktad gas;luftfuktare
Grundfunktioner och Komponenter;HX;Reagerande objekt;materialbehandlande objekt som åstadkommer nya material genom kemisk eller biologisk reaktion;
Grundfunktioner och Komponenter;HXA;Kemisk reaktor;reagerande objekt som åstadkommer och kontrollerar en kemisk reaktion;avsaltningsfilter, avhärdningsfilter, gasifierare
Grundfunktioner och Komponenter;HXB;Biologisk reaktor;reagerande objekt som åstadkommer och kontrollerar en biologisk reaktion;fermenterare, jäsmaskin
Grundfunktioner och Komponenter;K;Informationsbehandlande objekt;objekt för behandling av insignaler i syfte att avge lämpligt output;
Grundfunktioner och Komponenter;KB;Elektriskt signalkommunicerande objekt;informationsbehandlande objekt för kommunikation av elektriska signaler;
Grundfunktioner och Komponenter;KBA;Kommunikationsenhet;elektrisk signalbehandlande objekt utan mänsklig intervention för input/output till utrustning;adressenhet, I/O-modul, larmsändare, nätverkskort, USB-kort, Firewire-kort
Grundfunktioner och Komponenter;KE;Elektrisk signaldistribuerande objekt;signalbehandlande objekt för vidarebefordran av elektriska signaler; signalfördelande
Grundfunktioner och Komponenter;KEA;Relä;elektrisk signalfördelande objekt som vidarebefordrar elektriska signaler utan fördröjning;effektrelä, frekvensrelä, hjälprelä, impedansrelä, signalrelä, strömrelä, spänningsrelä, tidsrelä
Grundfunktioner och Komponenter;KEB;Nätverksbrygga;elektrisk signalfördelande objekt som överbryggar flera nätverkssegment;
Grundfunktioner och Komponenter;KEC;Router;elektrisk signalbehandlande objekt utan mänsklig intervention för vidarebefordran av signaler mellan datanätverk;brandvägg, gateway, modem
Grundfunktioner och Komponenter;KED;Switch;elektrisk signalfördelande objekt som vidarebefordrar signaler till specifik utrustning i ett datanät;
Grundfunktioner och Komponenter;KF;Elektrisk signalbehandlande objekt;informationsbehandlande objekt för behandling av elektriska signaler;
Grundfunktioner och Komponenter;KFA;Dator;elektrisk signalbehandlande objekt med mänsklig intervention;brandförsvarstablå, datorplatta, kodare, laptop, läsplatta, pc, protokollkonverterare, översättare
Grundfunktioner och Komponenter;KFB;Styr- och regleringsenhet;elektrisk signalbehandlande objekt utan mänsklig intervention för kontroll av utrustning;RTU, brandlarmscentral, centralapparat, DUC, kontrollapparat, larmlagringstablå, PLC, reglercentral, signalsäkerhetsställverk, styrapparat, styrenhet, telefonväxel, utestation, videoväxel
Grundfunktioner och Komponenter;KFC;Server;elektrisk signalbehandlande objekt utan mänsklig intervention;
Grundfunktioner och Komponenter;KG;Optisk signalbehandlande objekt;signalbehandlande objekt för optiska signaler;
Grundfunktioner och Komponenter;KGA;Optisk omkopplare;optisk signalbehandlande objekt som aktivt vidarebefordrar input till specifika apparater i ett optiskt nätverk;optisk switch
Grundfunktioner och Komponenter;KGB;Optisk router;optisk signalbehandlande objekt som vidarebefordrar datapaket mellan datornätverk;
Grundfunktioner och Komponenter;KGC;Optisk repeater;optisk signalbehandlande objekt som repeterar insignalen som en förbättrad utsignal;optisk förstärkare
Grundfunktioner och Komponenter;KH;Fluidsignalbehandlande objekt;signalbehandlande objekt för flödessignaler;hydrauliska och pneumatiksa signaler
Grundfunktioner och Komponenter;KHA;Regulator;flödessignalbehandlande objekt för återkopplande kontroll;
Grundfunktioner och Komponenter;KHB;Pilotventil;flödessignalbehandlande objekt som vidareförmedlar signaler;
Grundfunktioner och Komponenter;KJ;Mekanisk signalbehandlande objekt;signalbehandlande objekt för mekaniska signaler;
Grundfunktioner och Komponenter;KJA;Mekanisk regulator;mekanisk signalbehandlande objekt som justerar ett gas- eller vätskeflöde;
Grundfunktioner och Komponenter;KJB;Låscylinder;mekanisk signalbehandlande objekt som låser/låser upp en låsmekanism;
Grundfunktioner och Komponenter;KJC;Kodlås;mekanisk signalbehandlande objekt som åstadkommer ett binärt tillstånd hos en mekanism;handtagskodlås
Grundfunktioner och Komponenter;KZ;Multipel signalfördelande objekt;signalbehandlande objekt av multipla typer av signaler;
Grundfunktioner och Komponenter;KZA;Multiswitch;multipel signalbehandlande objekt som vidarebefordrar input till specifika apparater;
Grundfunktioner och Komponenter;M;Drivande objekt;objekt för tillhandhållande av mekanisk rörelse eller kraft;
Grundfunktioner och Komponenter;MA;Elektromagnetiskt rotationsdrivande objekt;drivande objekt genom rotationskraft driven av elektromagnetisk kraft;
Grundfunktioner och Komponenter;MAA;Elmotor;elektromagnetiskt rotationsdrivande objekt som åstadkommer en kontinuerlig rotation;driv, ställdon
Grundfunktioner och Komponenter;MAB;Stegmotor;elektromagnetiskt rotationsdrivande objekt som åstadkommer diskreta rotationssteg;
Grundfunktioner och Komponenter;MB;Elektromagnetiskt linjärt drivande objekt;drivande objekt genom linjär kraft, driven av elektromagnetisk kraft;
Grundfunktioner och Komponenter;MBA;Linjär motor;elektromagnetiskt linjärt drivande objekt som åstadkommer kontinuerlig rörelse;
Grundfunktioner och Komponenter;MBB;Solenoid;elektromagnetiskt linjärt drivande objekt som åstadkommer diskreta linjära steg;aktuator, elektromagnet, växeldriv
Grundfunktioner och Komponenter;MC;Magnetiskt drivande objekt;drivande objekt genom magnetisk kraft;
Grundfunktioner och Komponenter;MCA;Permanentmagnet;magnetiskt drivande objekt genom permanentmagnet;
Grundfunktioner och Komponenter;MD;Piezoelektriskt drivande objekt;drivande objekt genom piezoelektrisk effekt;
Grundfunktioner och Komponenter;MDA;Piezoelektrisk motor;piezoelektriskt drivande objekt genom piezoelektrisk kristall;piezoelektrisk aktuator
Grundfunktioner och Komponenter;ML;Mekaniskt kraftdrivande objekt;drivande objekt genom mekanisk energi;
Grundfunktioner och Komponenter;MLA;Gravitationsdrivare;mekaniskt kraftdrivande objekt genom frisläppande av gravitationsenergi;
Grundfunktioner och Komponenter;MLB;Elastisk drivare;mekaniskt kraftdrivande objekt genom frisläppande av elastisk energi;omläggningsanordning
Grundfunktioner och Komponenter;MLC;Vindturbin;mekaniskt kraftdrivande objekt genom kinetisk energi i blåst;
Grundfunktioner och Komponenter;MLD;Vattenturbin;mekaniskt kraftdrivande objekt genom kinetisk energi i strömmande vatten;
Grundfunktioner och Komponenter;MLE;Gasturbin;mekaniskt kraftdrivande objekt genom kinetisk energi och reaktiv kraft i strömmande och/eller expanderande gas;
Grundfunktioner och Komponenter;MM;Flödesdrivet drivande objekt;drivande objekt genom fluidförflyttning eller fluidtryck;
Grundfunktioner och Komponenter;MMA;Hydraulcylinder;flödesdrivande objekt som åstadkommer rörelse motsvarande en vätskevolym;lyftcylinder
Grundfunktioner och Komponenter;MMB;Pneumatisk cylinder;flödesdrivande objekt som åstadkommer rörelse till ändpositioner beroende på gastryck;
Grundfunktioner och Komponenter;MMC;Hydraulmotor;flödesdrivande objekt som åstadkommer rotation genom en strömmande vätska;
Grundfunktioner och Komponenter;MMD;Pneumatisk motor;flödesdrivande objekt som åstadkommer rotation genom trycksatt gas;
Grundfunktioner och Komponenter;MS;Förbränningsmotor;drivande objekt genom bränsleförbränning;
Grundfunktioner och Komponenter;MSA;Ottomotor;förbränningsmotor med kolvar som kraftsätts av gnistantänd förbränning;tändstiftsmotor
Grundfunktioner och Komponenter;MSB;Dieselmotor;förbränningsmotor med kolvar som kraftsätts av kompressionsantänd förbränning;
Grundfunktioner och Komponenter;MSC;Wankelmotor;förbränningsmotor med excentriskt roterade kolv i en cirkulär omslutning kraftsatt  av gnistantänd förbränning;
Grundfunktioner och Komponenter;MT;Värmemotor;drivande objekt genom extern värmekälla;
Grundfunktioner och Komponenter;MTA;Ångmaskin;värmemotor genom expanderande ånga som verkar på en kolv;ångturbin
Grundfunktioner och Komponenter;MTB;Stirlingmotor;värmemotor genom två kolvar i en cylinder med en upphettad och en kyld del;
Grundfunktioner och Komponenter;N;Täckande objekt;objekt för delvis eller hel omslutning av ett annat objekt;
Grundfunktioner och Komponenter;NA;Öppningsfyllande objekt;täckande objekt som fyller en öppning;
Grundfunktioner och Komponenter;NAA;Glasruta;öppningsfyllande objekt som tillåter ljusgenomsläpp;fönsterruta
Grundfunktioner och Komponenter;NAB;Panel;öppningsfyllande objekt som förhindrar ljusgenomsläpp;dörrspegel, inbrädning, plankpanel, råspont, yttertakspanel, underlagstak
Grundfunktioner och Komponenter;NAC;Galler;öppningsfyllande objekt som tillåter fluidgenomsläpp;avluftsgaller, brunnsgaller, fönstergaller, luftbrunn, ränngaller, uteluftsgaller, överluftsgaller
Grundfunktioner och Komponenter;NAD;Fogmaterial;öppningsfyllande objekt som förhindrar fluidgenomsläpp;cellgummi av neoprenkvalitet, dilatationsfog, fog, fogband, fogmassa, o-ring, packning, svällist
Grundfunktioner och Komponenter;NC;Beklädnadsobjekt;täckande objekt genom att avsluta konstruktioner;
Grundfunktioner och Komponenter;NCA;Markbeläggning;beklädnadsobjekt för hårdgjord yta;beläggning, gatubeläggning, markgaller, slitlager, vägbeläggning, vägplatta
Grundfunktioner och Komponenter;NCB;Väggbeklädnad;beklädnadsobjekt för vägg;betonglining, fasadbeklädnad, tunnelbeklädnad, panel, pelarinklädnad, väggpanel, väggskiva
Grundfunktioner och Komponenter;NCC;Golvbeläggning;beklädnadsobjekt för golv;golvmaterial, golvskiva, slätspont, undergolv
Grundfunktioner och Komponenter;NCD;Innertaksbeklädnad;beklädnadsobjekt för innertak;undertak
Grundfunktioner och Komponenter;NCE;Yttertaksbeklädnad;beklädnadsobjekt för yttertak;takbeklädnad, takmaterial, taktäckning
Grundfunktioner och Komponenter;NCF;Växtmatta;beklädnadsobjekt för vegetationsyta;grästorv, grässådd, sedummatta, sprutsådd, vegetationsmatta
Grundfunktioner och Komponenter;NCG;Smygbräda;beklädnadsobjekt i en öppning;dörrsmyg, fönsterbräda, fönsterbänk, fönstersmyg
Grundfunktioner och Komponenter;ND;Avslutande objekt;täckande objekt som avslutar andra objekt;
Grundfunktioner och Komponenter;NDA;Kantstöd;avslutande objekt för hårdgjord yta eller vegetationsyta;kantsten
Grundfunktioner och Komponenter;NDB;Krön;avslutande objekt för ett krön;avtäckning, kapitäl, krönbalk, krönlist, skorstenstäckning, topplåt, överliggare
Grundfunktioner och Komponenter;NDC;Golvsarg;avslutande objekt för en upphöjd golvkant;
Grundfunktioner och Komponenter;NDD;Innertaksavslutning;avslutande objekt för en innertakskant;
Grundfunktioner och Komponenter;NDE;Takavslutning;avslutande objekt för en yttertakskant;vattbräda, vindskiva, fotbräda
Grundfunktioner och Komponenter;NE;Döljande objekt;täckande objekt för fogar eller övergångar;
Grundfunktioner och Komponenter;NEA;Taklist;döljande objekt mellan en vägg och ett innertak;
Grundfunktioner och Komponenter;NEB;Golvsockel;döljande objekt mellan en vägg och ett golv;golvlist
Grundfunktioner och Komponenter;NEC;Hörnlist;döljande objekt mellan två väggar;knutbräda
Grundfunktioner och Komponenter;NED;Takbleck;döljande objekt på ett tak;gavelbeslag, nockbräda, nockpanna, nockplåt, ståndskiva, takfotsbeslag, underbleck, vinkelränna, överbleck
Grundfunktioner och Komponenter;NEE;Foder;döljande objekt runt en öppning;dörrfoder, dörrtryckesbricka, fönsterfoder, nyckelhålsbricka, täckbricka
Grundfunktioner och Komponenter;NEF;Täcklist;döljande objekt för en fog i parallella plan;
Grundfunktioner och Komponenter;P;Presenterande objekt;objekt för tillhandahållande av förnimbar information;
Grundfunktioner och Komponenter;PF;Visuell tillståndsindikator;presenterande objekt i synlig form av tillstånd eller läge;
